MCID;SvcDate;SvcTime;Mileage;Category;Notes
"HUD47";2014-12-10;3.00;;CtrVol;""
"CRO13";2014-12-16;5.50;;Committee;""
"CAM53";2014-12-11;10.00;;Supervisor;""
"WRI15";2014-12-11;4.50;;CtrVol;""
"SUT12";2014-12-11;3.00;;CtrVol;""
"COR77";2014-12-11;4.00;;OfficeAdmin;""
"DIL82";2014-12-11;7.00;;CtrVol;""
"DUN13";2014-12-11;1.50;;CtrVol;""
"THA32";2014-12-11;3.00;;CtrVol;""
"BAL18";2014-12-11;3.50;37;Transporter;""
"CAM53";2014-12-12;10.00;;Supervisor;""
"CAM53";2014-12-12;0.75;;CtrVol;""
"DIL82";2014-12-12;11.00;;CtrVol;""
"WRI15";2014-12-12;8.00;;CtrVol;""
"KOC11";2014-12-12;4.00;;CtrVol;""
"BIS47";2014-12-12;4.00;;CtrVol;""
"STO86";2014-12-12;4.00;;OfficeAdmin;""
"RIV20";2014-12-12;3.50;;CtrVol;""
"REE60A";2014-12-12;0.50;;CtrVol;""
"CAM53";2014-12-13;10.00;;Supervisor;""
"CAM53";2014-12-13;2.00;;CtrVol;""
"CHE28";2014-12-13;4.50;;CtrVol;""
"AAS47";2014-12-13;7.00;;OfficeAdmin;""
"PLE17";2014-12-13;4.50;;CtrVol;""
"PAR73";2014-12-13;4.00;;CtrVol;""
"MCA10";2014-12-13;3.50;;CtrVol;""
"SCH18";2014-12-13;4.50;;CtrVol;""
"GRI72";2014-12-13;1.00;15;Transporter;""
"MCA10";2014-12-13;1.00;45;Transporter;""
"CAM53";2014-12-14;5.50;;Supervisor;""
"DUN13";2014-12-14;6.00;;Supervisor;""
"DIL82";2014-12-14;7.00;;CtrVol;""
"THA32";2014-12-14;8.00;;CtrVol;""
"MEY56";2014-12-14;5.00;;CtrVol;""
"SCH94";2014-12-14;2.00;;CtrVol;""
"GRA10";2014-12-14;4.00;;OfficeAdmin;""
"WOL37";2014-12-14;4.00;;CtrVol;""
"MEY56";2014-12-14;0.50;15;Transporter;""
"ALV34";2014-12-15;10.00;;Supervisor;""
"ALV34";2014-12-15;2.50;;CtrVol;""
"DIL82";2014-12-15;12.50;;CtrVol;""
"CHR16A";2014-12-15;4.00;;CtrVol;""
"GRA10";2014-12-15;4.00;;CtrVol;""
"HER74";2014-12-15;8.50;;CtrVol;""
"WRI15";2014-12-15;5.50;;CtrVol;""
"DUN13";2014-12-16;10.00;;Supervisor;""
"DUN13";2014-12-16;1.50;;CtrVol;""
"LAR33";2014-12-16;7.50;;CtrVol;""
"CHR16A";2014-12-16;2.50;;CtrVol;""
"CAM53";2014-12-16;4.50;;CtrVol;""
"FLA24";2014-12-16;4.00;;CtrVol;""
"HUD47";2014-12-16;3.00;;CtrVol;""
"BRO13";2014-12-16;2.50;;CtrVol;""
"SIN60";2014-12-16;4.00;;OfficeAdmin;""
"KUN58";2014-12-16;3.00;;CtrVol;""
"CHE28";2014-12-16;5.00;;CtrVol;""
"CHE28A";2014-12-16;5.00;;CtrVol;""
"WRI15";2014-12-16;3.50;;CtrVol;""
"DIL82";2014-12-16;4.00;;CtrVol;""
"VEN15";2014-12-16;3.00;;Grant;""
"PER17";2014-12-16;3.00;;BOD;""
"ALV34";2014-12-16;3.50;;CtrVol;""
"DUN13";2014-12-17;6.00;;Supervisor;""
"CAM53";2014-12-17;5.50;;Supervisor;""
"CLA23";2014-12-17;4.00;;CtrVol;""
"FEI11";2014-12-17;5.00;;CtrVol;""
"GEO41";2014-12-17;4.00;;OfficeAdmin;""
"FLA24";2014-12-17;2.00;;CtrVol;""
"GAL27";2014-12-17;2.00;;CtrVol;""
"HAR21A";2014-12-17;5.50;;CtrVol;""
"HUD47";2014-12-17;5.00;;CtrVol;""
"STO86";2014-12-17;5.00;;CtrVol;""
"GEO41";2014-12-13;2.00;;VolEd;"Transport training"
"SHA72";2014-12-13;2.00;;VolEd;"Transport training"
"CLU76";2014-12-13;2.00;;VolEd;"Transport training"
"LEW21";2014-12-13;2.00;;VolEd;"Transport training"
"STE42";2014-12-13;2.00;;VolEd;"Transport training"
"STE20";2014-12-13;2.00;;VolEd;"Transport training"
"CAM53";2014-12-18;10.00;;Supervisor;""
"CAM53";2014-12-18;2.00;;CtrVol;""
"LAR33";2014-12-18;3.50;;CtrVol;""
"WRI15";2014-12-18;8.00;;CtrVol;""
"SUT12";2014-12-18;3.50;;CtrVol;""
"ERI30";2014-12-18;3.00;;CtrVol;""
"AIE30";2014-12-18;7.00;;CtrVol;""
"COR77";2014-12-18;8.00;;OfficeAdmin;""
"COR77";2014-12-18;2.00;;Committee;""
"SCO71";2014-12-18;4.50;;OfficeAdmin;""
"DIL82";2014-12-18;8.50;;CtrVol;""
"WOL37";2014-12-18;1.00;;CtrVol;""
"THA32";2014-12-18;4.00;;CtrVol;""
"HEN85";2014-12-18;2.00;60;Transporter;""
"CAM53";2014-12-18;10.00;;Supervisor;""
"CAM53";2014-12-18;1.50;;CtrVol;""
"DIL82";2014-12-18;12.00;;CtrVol;""
"WRI15";2014-12-18;7.00;;CtrVol;""
