MCID;SvcDate;SvcTime;Mileage;Category;Notes
"FLA56A";2014-02-06;3.50;;CtrVol;""
"FLA56A";2014-02-06;0.25;4;Transporter;""
"LAR33";2014-02-06;4.00;0;CtrVol;""
"Sco71";2014-02-06;1.00;0;OfficeAdmin;""
"HAM23";2014-02-06;3.50;0;CtrVol;""
"THA32";2014-02-06;3.50;0;CtrVol;""
"Hen85";2014-02-06;2.00;60;Transporter;""
"CAM53";2014-02-07;11.00;0;Supervisor;""
"WOL15";2014-02-07;4.00;0;CtrVol;""
"DUM40";2014-02-07;4.00;0;CtrVol;""
"REN13";2014-02-07;8.00;0;CtrVol;""
"MCC15A";2014-02-07;4.00;0;CtrVol;""
"MAX12";2014-02-07;4.00;0;CtrVol;""
"BOL35";2014-02-07;3.00;0;CtrVol;""
"GON27";2014-02-07;3.50;0;CtrVol;""
"CHA33";2014-02-07;3.00;0;CtrVol;""
"WOL37";2014-02-07;1.00;20;Transporter;""
"CAM53";2014-02-08;11.00;0;Supervisor;""
"HAL49";2014-02-08;4.00;0;CtrVol;""
"AAS47";2014-02-08;4.00;0;OfficeAdmin;""
"CHA18B";2014-02-08;1.00;0;CtrVol;""
"MCA40";2014-02-08;4.00;0;CtrVol;""
"GON27";2014-02-08;3.50;0;CtrVol;""
"HOL88";2014-02-08;4.00;0;CtrVol;""
"ALV34";2014-02-09;11.00;0;Supervisor;""
"PLE17";2014-02-08;4.00;0;CtrVol;""
"BOC18";2014-02-08;3.50;0;OfficeAdmin;""
"DAL53";2014-02-08;6.00;0;CtrVol;""
"PIN75";2014-02-08;6.00;0;CtrVol;""
"NEL30A";2014-02-08;6.00;0;CtrVol;""
"PER17";2014-02-08;6.00;0;Committee;""
"DUM40";2014-02-08;6.00;0;CtrVol;""
"DIL82";2014-02-09;10.00;0;CtrVol;""
"MEY56";2014-02-09;4.00;0;CtrVol;""
"DOW10";2014-02-09;4.00;0;CtrVol;""
"Fla24";2014-02-09;1.50;0;CtrVol;""
"BRI25A";2014-02-09;4.00;0;CtrVol;""
"GRA10";2014-02-09;4.00;0;OfficeAdmin;""
"OWE55";2014-02-09;4.00;0;CtrVol;""
"TOD12";2014-02-09;4.00;0;CtrVol;""
"Ven15";2014-02-09;18.00;0;Committee;""
"WIN11";2014-02-09;4.00;0;CtrVol;""
"WOL37";2014-02-09;4.00;0;CtrVol;""
"Cro13";2014-02-09;22.50;0;Committee;""
"HAR21A";2014-02-09;3.00;0;CtrVol;""
"Bak56";2014-02-09;8.00;0;CtrVol;""
"ALV34";2014-02-10;11.00;0;Supervisor;""
"DIL82";2014-02-10;10.00;0;CtrVol;""
"BRO53";2014-02-10;4.00;0;CtrVol;""
"WRI15";2014-02-10;6.00;0;CtrVol;""
"CHR16";2014-02-10;4.00;0;CtrVol;""
"COR77";2014-02-10;4.00;0;OfficeAdmin;""
"DUN13";2014-02-10;2.50;0;CtrVol;""
"HER74";2014-02-10;4.50;;CtrVol;""
"HER74";2014-02-10;0.50;10;Transporter;""
"SIN60";2014-02-10;2.00;80;Transporter;""
"DUN13";2014-02-11;8.00;0;Supervisor;""
"DUM40";2014-02-11;5.00;0;CtrVol;""
